"","x","ci.lb","ci.ub","mlab","n"
"1",-1.41,-2.13,-0.69,"Overall",63
"2",-2.99030648910048,-3.98139353078939,-1.99921944741156,"Omnivore",25
"3",-2.68035743900732,-4.88816310736906,-0.472551770645584,"Pollinator",5
"4",0.0155091082363608,-0.843880371504346,0.874898587977068,"Predator",33
