Authors,Year,Study Type,Study Organism(s),Common,Active Ingredient(s),Application Rate,Individuals (n),Measure,Mean,± SD,± SE,Treatments,Replicates,Location,Data Source,,F,t,Z,X2,P
,,,,,Imidacloprid,62.5 g ai/100 kg seed,,Seasonal sums,3.37,,0.92,3,4,South Dakota,Table 3,,,,,,
,,,,,Thiamethoxam,50 g ai/100 kg seed,,Seasonal sums,4.25,,0.75,3,4,South Dakota,Table 3,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Easton & Goulson,2013,field,Diptera,"Flies, midges, etc.",Untreated,*,"Total: 11, 967",Number of arthropods,,,,2,25,Scotland,Figure 1,,,,,,
,,,,,Imidacloprid, 1 µg/L,"Total: 11, 967",Number of arthropods,,,,2,25,Scotland,Figure 1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Coleoptera,Beetles,Untreated,*,"Total: 11, 967",Number of arthropods,,,,2,25,Scotland,Figure 1,,,,,,
,,,,,Imidacloprid, 0.1 µg/L,"Total: 11, 967",Number of arthropods,,,,2,25,Scotland,Figure 1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Araneae,Spiders,Untreated,*,"Total: 11, 967",Number of arthropods,,,,2,25,Scotland,Figure 1,,,,,,
,,,,,Imidacloprid, 0.01 µg/L,"Total: 11, 967",Number of arthropods,,,,2,25,Scotland,Figure 1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Smith & Krischik,1999,lab,Coleomegilla maculata,Spotted lady beetle,Starved,no pollen/nectar,420,No. days to 1st oviposition,6.95,,0.66,4,,Minnesota,Table 1,,,,,,
,,,,,Untreated,*,420,No. days to 1st oviposition,2.56,,0.5,4,,Minnesota,Table 1,,,,,,
,,,,,Imidacloprid,27 mg AI (sunflowers),420,No. days to 1st oviposition,9.78,,2.01,4,,Minnesota,Table 1,,,,,,
,,,,,Imidacloprid,54 mg AI (sunflowers),420,No. days to 1st oviposition,14,,2.1,4,,Minnesota,Table 1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Coleomegilla maculata,Spotted lady beetle,Starved,no pollen/nectar,44,Walk rate (cm/s),3.32,,0.12,4,,Minnesota,Table 1,,,,,,
,,,,,Untreated,*,44,Walk rate (cm/s),2.95,,0.22,4,,Minnesota,Table 1,,,,,,
,,,,,Imidacloprid,20 mg AI (chrysanthemums),44,Walk rate (cm/s),1.77,,0.33,4,,Minnesota,Table 1,,,,,,
,,,,,Imidacloprid,40 mg AI (chrysanthemums),44,Walk rate (cm/s),1.93,,0.24,4,,Minnesota,Table 1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Albajes et al.,2003,field,Araneae,Spiders,untreated,*,"Total: 11, 602",abundance/composition,0.51,,0.06,2,4,Spain,Table 2,,,,,,
,,,,,imidacloprid,4.9 g AI/ha,"Total: 11, 602",abundance/composition,0.53,,0.06,2,4,Spain,Table 2,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Trombididae,Mites,untreated,*,"Total: 11, 602",abundance/composition,0.04,,0.01,2,4,Spain,Table 2,,,,,,
,,,,,imidacloprid,4.9 g AI/ha,"Total: 11, 602",abundance/composition,0.01,,<0.01,2,4,Spain,Table 2,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Heteroptera,True bugs,untreated,*,"Total: 11, 602",abundance/composition,0.74,,0.13,2,4,Spain,Table 2,,,,,,
,,,,,imidacloprid,4.9 g AI/ha,"Total: 11, 602",abundance/composition,0.59,,0.11,2,4,Spain,Table 2,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Anthocoridae,Flower bugs,untreated,*,"Total: 11, 602",abundance/composition,0.65,,0.12,2,4,Spain,Table 2,,,,,,
,,,,,imidacloprid,4.9 g AI/ha,"Total: 11, 602",abundance/composition,0.53,,0.1,2,4,Spain,Table 2,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Nabidae,Damsel bugs,untreated,*,"Total: 11, 602",abundance/composition,0.06,,0.01,2,4,Spain,Table 2,,,,,,
,,,,,imidacloprid,4.9 g AI/ha,"Total: 11, 602",abundance/composition,0.04,,0.01,2,4,Spain,Table 2,,,,,,
