"","model","pvalue","R_squared","n","AICc","deltaAICc","Weight"
"1","y~ Order+Neonic+Study Type+Concentration [ppb]",1.27871541948999e-11,0.58,59,285.571501736361,0,0.218953531251801
"2","y~ Order+Neonic+Treatment Type+Study Type+Concentration [ppb]",9.52330118055804e-12,0.6,59,286.250323195964,0.678821459603,0.155936487265585
"3","y~ Order+Nesting Area+Neonic+Concentration [ppb]",5.84196498713103e-11,0.56,59,287.366316556218,1.79481481985658,0.0892509541455212
"4","y~ Order+Nesting Area+Neonic+Study Type+Concentration [ppb]",3.76988684938825e-11,0.58,59,288.034624369797,2.46312263343623,0.063898648090654
"5","y~ Order+Nesting Area+Neonic+Treatment Type+Concentration [ppb]",5.49407503238283e-11,0.57,59,288.164266919942,2.59276518358104,0.0598880466099157
"6","y~ Functional group+Neonic+Study Type+Concentration [ppb]",6.23807571279063e-11,0.58,59,288.89247644906,3.32097471269867,0.041611316639991
"7","y~ Order+Functional group+Neonic+Study Type+Concentration [ppb]",6.23807571279167e-11,0.58,59,288.89247644906,3.3209747126989,0.0416113166399863
"8","y~ Order+Nesting Area+Neonic+Treatment Type+Study Type+Concentration [ppb]",2.88585690192689e-11,0.59,59,288.93566561934,3.36416388297863,0.0407223702786045
"9","y~ Order+Functional group+Nesting Area+Neonic+Concentration [ppb]",1.44357968354141e-10,0.56,59,289.361526124423,3.79002438806145,0.0329123289339034
"10","y~ Functional group+Nesting Area+Neonic+Concentration [ppb]",1.44357968354155e-10,0.56,59,289.361526124423,3.79002438806157,0.0329123289339015
"11","y~ Order+Neonic+Concentration [ppb]",2.91149819728436e-10,0.54,59,289.73102652428,4.15952478791849,0.027360411347653
"12","y~ Order+Functional group+Neonic+Treatment Type+Study Type+Concentration [ppb]",4.69813209118656e-11,0.59,59,289.765661271181,4.19415953481951,0.02689067988316
"13","y~ Functional group+Neonic+Treatment Type+Study Type+Concentration [ppb]",4.69813209119191e-11,0.59,59,289.765661271182,4.19415953482081,0.0268906798831424
"14","y~ Order+Neonic+Treatment Type+Concentration [ppb]",2.52763536325887e-10,0.55,59,290.171438281476,4.59993654511521,0.0219527243650789
